title,artist,year,genre
Bad Day,Daniel Powter,2006,"canadian pop, neo mellow, pop rock"
Temperature,Sean Paul,2006,"dance pop, dancehall, pop, pop rap"
Promiscuous,Nelly Furtado Featuring Timbaland,2006,"canadian latin, canadian pop, dance pop, pop"
You're Beautiful,James Blunt,2006,"neo mellow, pop rock"
Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,"colombian pop, dance pop, latin pop, pop"
Unwritten,Natasha Bedingfield,2006,"dance pop, pop, post-teen pop"
Crazy,Gnarls Barkley,2006,"atl hip hop, neo soul"
Ridin',Chamillionaire Featuring Krayzie Bone,2006,"dirty south rap, southern hip hop"
SexyBack,Justin Timberlake,2006,"dance pop, pop"
Check On It,Beyonce Featuring Slim Thug,2006,"pop, r&b"
Be Without You,Mary J. Blige,2006,"dance pop, neo soul, r&b, urban contemporary"
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
Over My Head (Cable Car),The Fray,2006,"neo mellow, piano rock, pop, pop rock"
Me & U,Cassie,2006,"dance pop, hip pop, pop rap, r&b, urban contemporary"
Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006,"dance pop, girl group, pop"
Run It!,Chris Brown,2006,"pop rap, r&b, rap"
So Sick,Ne-Yo,2006,"dance pop, pop, r&b, urban contemporary"
It's Goin' Down,Yung Joc,2006,"atl hip hop, crunk, dirty south rap, southern hip hop, trap"
SOS,Rihanna,2006,"barbadian pop, pop, urban contemporary"
I Write Sins Not Tragedies,Panic! At The Disco,2006,pop
Move Along,The All-American Rejects,2006,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
London Bridge,Fergie,2006,"dance pop, pop"
Dani California,Red Hot Chili Peppers,2006,"alternative rock, funk metal, funk rock, permanent wave, rock"
Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006,"atl hip hop, crunk, dance pop, dirty south rap, old school atlanta hip hop, pop rap, southern hip hop, trap"
"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006,"atl hip hop, crunk, dirty south rap, southern hip hop"
What Hurts The Most,Rascal Flatts,2006,"contemporary country, country, country road"
How To Save A Life,The Fray,2006,"neo mellow, piano rock, pop, pop rock"
Unfaithful,Rihanna,2006,"barbadian pop, pop, urban contemporary"
Chasing Cars,Snow Patrol,2006,"irish rock, modern rock, neo mellow, permanent wave, pop rock"
Lips Of An Angel,Hinder,2006,"alternative metal, nu metal, post-grunge"
Everytime We Touch,Cascada,2006,"eurodance, europop, german techno, melbourne bounce international"
Ain't No Other Man,Christina Aguilera,2006,"pop, r&b"
"Dance, Dance",Fall Out Boy,2006,"emo, modern rock, pop, pop punk, rock"
Gold Digger,Kanye West Featuring Jamie Foxx,2006,"chicago rap, hip hop, rap"
Money Maker,Ludacris Featuring Pharrell,2006,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap"
Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2006,"atl hip hop, country rap, dirty south rap, southern hip hop"
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006,"dance pop, dancehall, pop, pop rap"
Photograph,Nickelback,2006,"alternative metal, canadian rock, post-grunge"
Because Of You,Kelly Clarkson,2006,"dance pop, pop, talent show"
Stickwitu,The Pussycat Dolls,2006,"dance pop, girl group, pop"
I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006,"pop rap, r&b, rap"
My Humps,The Black Eyed Peas,2006,"pop rap, r&b, rap"
Where'd You Go,Fort Minor Featuring Holly Brook,2006,"alternative hip hop, rap"
Yo (Excuse Me Miss),Chris Brown,2006,"pop rap, r&b, rap"
Walk Away,Kelly Clarkson,2006,"dance pop, pop, talent show"
Laffy Taffy,D4L,2006,"atl hip hop, crunk, dirty south rap, old school atlanta hip hop, southern hip hop"
What You Know,T.I.,2006,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Dirty Little Secret,The All-American Rejects,2006,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
Savin' Me,Nickelback,2006,"alternative metal, canadian rock, post-grunge"
Don't Forget About Us,Mariah Carey,2006,"pop, r&b"
Sexy Love,Ne-Yo,2006,"dance pop, pop, r&b, urban contemporary"
U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006,"cali rap, gangster rap, hyphy, oakland hip hop, west coast rap"
Far Away,Nickelback,2006,"alternative metal, canadian rock, post-grunge"
What's Left Of Me,Nick Lachey,2006,"idol, post-teen pop"
So What,Field Mob Featuring Ciara,2006,"atl hip hop, dirty south rap, old school atlanta hip hop"
Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2006,"atl hip hop, girl group, hip pop, r&b, southern hip hop, urban contemporary"
Black Horse & The Cherry Tree,KT Tunstall,2006,"lilith, neo mellow, pop rock, scottish singer-songwriter"
There It Go! (The Whistle Song),Juelz Santana,2006,"gangster rap, harlem hip hop, nyc rap, pop rap, trap"
Shoulder Lean,Young Dro Featuring T.I.,2006,"atl hip hop, crunk, dirty south rap, futuristic swag, old school atlanta hip hop, southern hip hop, trap"
Unpredictable,Jamie Foxx Featuring Ludacris,2006,"contemporary r&b, hip pop, r&b, southern hip hop, trap, urban contemporary"
My Love,Justin Timberlake Featuring T.I.,2006,"dance pop, pop"
Shake That,Eminem Featuring Nate Dogg,2006,"detroit hip hop, hip hop, rap"
Pullin' Me Back,Chingy Featuring Tyrese,2006,"crunk, dirty south rap, hip pop, pop rap, r&b, southern hip hop"
Bossy,Kelis Featuring Too $hort,2006,"dance pop, hip pop, neo soul, urban contemporary"
Chain Hang Low,Jibbs,2006,dirty south rap
Smack That,Akon Featuring Eminem,2006,dance pop
One Wish,Ray J,2006,pop rap
