Temperature,Sean Paul,2006,"['dance pop', 'dancehall', 'pop', 'pop rap']",Happy
Promiscuous,Nelly Furtado Featuring Timbaland,2006,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",Happy
Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Happy
Ridin',Chamillionaire Featuring Krayzie Bone,2006,"['dirty south rap', 'southern hip hop']",Happy
SexyBack,Justin Timberlake,2006,"['dance pop', 'pop']",Happy
Check On It,Beyonce Featuring Slim Thug,2006,"['pop', 'r&b']",Happy
Over My Head (Cable Car),The Fray,2006,"['neo mellow', 'piano rock', 'pop', 'pop rock']",Happy
Me & U,Cassie,2006,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",Happy
Dani California,Red Hot Chili Peppers,2006,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Happy
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006,"['dance pop', 'dancehall', 'pop', 'pop rap']",Happy
Walk Away,Kelly Clarkson,2006,"['dance pop', 'pop', 'talent show']",Happy
So What,Field Mob Featuring Ciara,2006,"['atl hip hop', 'dirty south rap', 'old school atlanta hip hop']",Happy
Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2006,"['atl hip hop', 'girl group', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",Happy
Black Horse & The Cherry Tree,KT Tunstall,2006,"['lilith', 'neo mellow', 'pop rock', 'scottish singer-songwriter']",Happy
Unpredictable,Jamie Foxx Featuring Ludacris,2006,"['contemporary r&b', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Happy
My Love,Justin Timberlake Featuring T.I.,2006,"['dance pop', 'pop']",Happy
Bossy,Kelis Featuring Too $hort,2006,"['dance pop', 'hip pop', 'neo soul', 'urban contemporary']",Happy
Chain Hang Low,Jibbs,2006,['dirty south rap'],Happy
Smack That,Akon Featuring Eminem,2006,['dance pop'],Happy
Who Says You Can't Go Home,Bon Jovi,2006,"['glam metal', 'rock']",Happy
Too Little Too Late,JoJo,2006,"['dance pop', 'pop', 'post-teen pop']",Happy
We Be Burnin',Sean Paul,2006,"['dance pop', 'dancehall', 'pop', 'pop rap']",Happy
Pump It,The Black Eyed Peas,2006,['fake'],Happy
When I'm Gone,Eminem,2006,"['detroit hip hop', 'hip hop', 'rap']",Happy
Feel Good Inc,Gorillaz,2006,"['alternative hip hop', 'modern rock', 'rock']",Happy
Bad Day,Daniel Powter,2006,"['canadian pop', 'neo mellow', 'pop rock']",Neutral
You're Beautiful,James Blunt,2006,"['neo mellow', 'pop rock']",Neutral
Unwritten,Natasha Bedingfield,2006,"['dance pop', 'pop', 'post-teen pop']",Neutral
Crazy,Gnarls Barkley,2006,"['atl hip hop', 'neo soul']",Neutral
Be Without You,Mary J. Blige,2006,"['dance pop', 'neo soul', 'r&b', 'urban contemporary']",Neutral
Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006,"['dance pop', 'girl group', 'pop']",Neutral
So Sick,Ne-Yo,2006,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Neutral
It's Goin' Down,Yung Joc,2006,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop', 'trap']",Neutral
SOS,Rihanna,2006,"['barbadian pop', 'pop', 'urban contemporary']",Neutral
I Write Sins Not Tragedies,Panic! At The Disco,2006,['pop'],Neutral
Move Along,The All-American Rejects,2006,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",Neutral
London Bridge,Fergie,2006,"['dance pop', 'pop']",Neutral
Everytime We Touch,Cascada,2006,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",Neutral
